v1,rcid1,rcid2
628,4720,4796
629,4721,4788
630,4722,4787
631,4735,4805
632,4737,4808
633,4738,4809
634,4746,4817
635,4754,4833
636,4755,4863
637,4756,4858
638,4757,4862
639,4758,4860
640,4760,4859
641,4761,4857
642,4768,4848
643,4769,4850
644,4770,4864
645,4773,4861
646,4776,4846
647,4777,4866
648,4778,4845
649,4779,4836
650,4780,4840
651,4781,4839
652,4783,4835
653,4785,4870
654,4786,4869
655,4787,4872
656,4788,4868
657,4789,4878
658,4790,4880
659,4791,4876
660,4792,4877
661,4793,4871
662,4795,4881
663,4796,4874
664,4800,4887
665,4805,4896
666,4808,4892
667,4817,4898
668,4835,4986
669,4838,4983
670,4839,4982
671,4840,4981
672,4845,5005
673,4850,4990
674,4857,4999
675,4858,4991
676,4859,4993
677,4863,5007
678,4866,5004
679,4868,5022
680,4869,5018
681,4870,5016
682,4871,5015
683,4872,5014
684,4874,5021
685,4876,5017
686,4877,5010
687,4880,5020
688,4881,5012
689,4883,5036
690,4887,5025
691,4892,5032
692,4893,5033
693,4896,5024
694,4898,5038
695,4899,5037
696,4979,5049
697,4981,5052
698,4984,5050
699,4985,5055
700,4986,5054
701,4988,5058
702,4990,5071
703,4993,5059
704,5007,5057
705,5012,5084
706,5014,5087
707,5015,5088
708,5016,5089
709,5018,5090
710,5019,5094
711,5020,5083
712,5021,5086
713,5049,5163
714,5054,5138
715,5058,5148
716,5059,5153
717,5068,5158
718,5069,5164
719,5070,5165
720,5071,5151
721,5076,5159
722,5078,5162
723,5081,5169
724,5085,5173
725,5088,5177
726,5089,5178
727,5093,5167
728,5094,5166
729,5097,5122
730,5102,5131
731,5122,5230
732,5128,5235
733,5129,5238
734,5130,5185
735,5136,5187
736,5144,5246
737,5147,5189
738,5148,5190
739,5150,5192
740,5157,5206
741,5158,5193
742,5159,5201
743,5161,5207
744,5162,5209
745,5163,5181
746,5164,5210
747,5165,5211
748,5167,5214
749,5169,5216
750,5172,5219
751,5174,5221
752,5175,5222
753,5176,5223
754,5181,5249
755,5185,5253
756,5188,5250
757,5189,5257
758,5190,5258
759,5192,5259
760,5197,5263
761,5201,5265
762,5208,5271
763,5209,5272
764,5214,5290
765,5216,5286
766,5218,5283
767,5221,5287
768,5222,5288
769,5223,5277
770,5224,5280
771,5225,5279
772,5226,5278
773,5230,5298
774,5233,5293
775,5250,5320
776,5257,5322
777,5258,5323
778,5263,5338
779,5265,5328
780,5266,5331
781,5271,5333
782,5272,5346
783,5277,5361
784,5278,5350
785,5279,5349
786,5280,5362
787,5286,5354
788,5287,5359
789,5288,5360
790,5290,5352
791,5293,5370
792,5303,5379
793,5306,5386
794,5310,5389
795,5316,5397
796,5317,5398
797,5320,5401
798,5322,5403
799,5323,5404
800,5325,5423
801,5328,5410
802,5331,5424
803,5333,5415
804,5338,5407
805,5346,5427
806,5347,5428
807,5349,5430
808,5352,5432
809,5354,5434
810,5359,5439
811,5360,5440
812,5362,5442
813,5363,5443
814,5367,5447
815,5369,5457
816,5397,5470
817,5398,5471
818,5400,5474
819,5401,5473
820,5403,5501
821,5405,5503
822,5407,5521
823,5409,5527
824,5415,5508
825,5416,5515
826,5417,5511
827,5419,5518
828,5421,5522
829,5423,5505
830,5424,5519
831,5430,5534
832,5432,5537
833,5433,5538
834,5436,5541
835,5439,5544
836,5440,5531
837,5447,5479
838,5454,5485
839,5459,5488
840,5461,5490
841,5470,5555
842,5471,5554
843,5473,5552
844,5478,5571
845,5479,5573
846,5482,5568
847,5485,5557
848,5490,5579
849,5494,5576
850,5501,5618
851,5502,5614
852,5503,5616
853,5507,5605
854,5508,5611
855,5511,5619
856,5514,5608
857,5518,5613
858,5521,5598
859,5529,5602
860,5539,5626
861,5541,5633
862,5544,5623
863,5549,6060
864,5550,6066
865,5552,6065
866,5553,6063
867,5554,6062
868,5555,6064
869,5559,6128
870,5561,6126
871,5573,6137
872,5576,6141
873,5579,6145
874,5583,6151
875,5595,6078
876,5597,6092
877,5598,6089
878,5599,6094
879,5601,6069
880,5602,6075
881,5605,6095
882,5609,6079
883,5611,6070
884,5613,6099
885,5614,6085
886,5618,6076
887,5619,6081
888,5623,6105
889,5624,6108
890,5625,6107
891,5626,6115
892,5629,6110
893,5630,6114
894,5632,6106
895,5633,6109
896,5635,6116
897,5636,6104
898,6061,9059
899,6062,9096
900,6063,9103
901,6064,9101
902,6065,9125
903,6068,9142
904,6069,9074
905,6070,9145
906,6075,9135
907,6076,9070
908,6078,9110
909,6079,9072
910,6081,9118
911,6082,9116
912,6083,9127
913,6085,9128
914,6086,9095
915,6087,9104
916,6088,9136
917,6089,9115
918,6091,9077
919,6092,9143
920,6093,9090
921,6094,9113
922,6095,9126
923,6097,9106
924,6098,9089
925,6103,9099
926,6104,9098
927,6105,9134
928,6106,9097
929,6107,9100
930,6108,9083
931,6110,9119
932,6111,9084
933,6112,9108
934,6113,9141
935,6114,9137
936,6117,9147
937,6122,9064
938,6124,9121
939,6125,9075
940,6126,9073
941,6128,9114
942,6130,9063
943,6132,9107
944,6133,9131
945,6135,9068
946,6136,9132
947,6137,9109
948,6139,9130
949,6141,9139
950,6143,9080
951,6145,9146
952,6146,9078
953,6149,9105
954,6155,9111
955,6157,9065
